"","cycle","branch","model","modeldate","candidate_inc","candidate_chal","candidate_3rd","state","tipping","vpi","winstate_inc","winstate_chal","winstate_3rd","voteshare_inc","voteshare_chal","voteshare_3rd","voteshare_other","voteshare_inc_hi","voteshare_chal_hi","voteshare_3rd_hi","voteshare_other_hi","voteshare_inc_lo","voteshare_chal_lo","voteshare_3rd_lo","voteshare_other_lo","margin","margin_hi","margin_lo","win_EC_if_win_state_inc","win_EC_if_win_state_chal","win_state_if_win_EC_inc","win_state_if_win_EC_chal","state_turnout","state_turnout_hi","state_turnout_lo","timestamp","simulations","trump_vote","biden_vote","FTE_margin"
"15",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Oklahoma",3.75e-05,0.0031272,0.994275,0.005725,NA,62.08282,36.85556,NA,1.061624,66.95587,41.75122,NA,1.553877,57.17363,31.99938,NA,0.6208006,25.22726,34.96303,15.4313,0.1044731,0.9956332,0.9997594,0.006393,1598023,1834220,1367750,"11/3/20 0:00",40000,992097.7426486,588960.3255788,25.4979513511339
"16",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Ohio",0.0182125,0.4671486,0.546725,0.453275,NA,49.79167,49.20341,NA,1.004913,53.13055,52.53614,NA,1.469088,46.46594,45.848,NA,0.5887882,0.588254,7.268904,-6.059555,0.1893091,0.9991176,0.9961501,0.5079352,6175439,6962428,5402875,"11/3/20 0:00",40000,3074854.2079313,3038526.5704699,0.594231551709441
"17",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"North Dakota",0.0003375,0.1484461,0.975925,0.024075,NA,59.62574,37.92917,NA,2.445087,65.7225,43.95776,NA,3.649909,53.56664,31.89008,NA,1.385431,21.69657,33.78543,9.67041,0.1061557,0.9875389,0.9971126,0.0266655,367402,422508,313740,"11/3/20 0:00",40000,219066.1612748,139352.5291634,22.2403669892166
"18",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"North Carolina",0.05175,1.447434,0.360675,0.639325,NA,48.76913,50.53209,NA,0.6987836,52.09756,53.86943,NA,1.013315,45.44023,47.20729,NA,0.4144816,-1.762964,4.889326,-8.41433,0.2741388,0.9914754,0.9516362,0.710941,5687384,6420878,4970191,"11/3/20 0:00",40000,2773687.6965592,2873954.0015256,-1.77536590184894
"19",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"New York",0.0001375,0.0027208,1e-04,0.9999,NA,34.95478,64.0599,NA,0.9853184,38.43977,67.5193,NA,1.439822,31.51118,60.5643,NA,0.5777018,-29.10512,-22.14002,-35.99786,0.25,0.8916141,0.0002406,0.9999159,8451214,9588660,7346283,"11/3/20 0:00",40000,2954103.2610292,5413839.237186,-29.3947523740924
"20",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"New Mexico",0.0116625,1.882826,0.02245,0.97755,NA,42.57364,55.60472,NA,1.821635,46.52713,59.5356,NA,2.700274,38.63103,51.63435,NA,1.04422,-13.03108,-5.189375,-20.83634,0.564588,0.9024346,0.1219923,0.9894291,978207,1105804,853600,"11/3/20 0:00",40000,416458.3266348,543929.2633704,-13.2728637960544
"21",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"New Jersey",0.0039375,0.1426436,0.007975,0.992025,NA,39.4347,59.74265,NA,0.8226508,43.96515,64.24769,NA,1.197225,34.94089,55.19937,NA,0.4853277,-20.30795,-11.23834,-29.28953,0.3605016,0.8936267,0.0276708,0.9942799,4385652,4957544,3825778,"11/3/20 0:00",40000,1729468.709244,2620104.724578,-20.4763990971729
"22",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"New Hampshire",0.0112625,2.123295,0.10915,0.89085,NA,44.21028,54.83103,NA,0.9586862,49.7715,60.37542,NA,1.400021,38.69019,49.2598,NA,0.562619,-10.62075,0.5062981,-21.67691,0.414109,0.929702,0.4350337,0.9289199,842850,951379,737421,"11/3/20 0:00",40000,372626.34498,462143.336355,-10.7235556557158
"23",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Nevada",0.03365,3.946862,0.1219,0.8781,NA,46.2142,52.33038,NA,1.45542,49.61931,55.70439,NA,2.145838,42.85277,48.92238,NA,0.8414492,-6.116173,0.6536694,-12.82833,0.5299426,0.951116,0.6217517,0.9367149,1361268,1535414,1189624,"11/3/20 0:00",40000,629099.116056,712356.7172184,-6.20651079947776
"24",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Nebraska",0,0,0.994375,0.005625,NA,58.17965,40.18031,NA,1.640038,62.02829,44.02349,NA,2.422428,54.31487,36.3522,NA,0.9440672,17.99934,25.61084,10.33891,0.1044375,0.9911111,0.9995188,0.0062528,935680,1066747,808774,"11/3/20 0:00",40000,544375.34912,375959.124608,18.2994584381694
